visit_id,store_id,perturbation,R_base_baseline,R_base_perturbed,R_base_swing_pct,R_inv_baseline,R_inv_perturbed,R_inv_swing_pct,triangulation_ratio_baseline,triangulation_ratio_perturbed,triangulation_status_flipped
KIR02_4232026_80000PM,KIR02,top_sku_share_0.50,161609.14285714284,161609.14285714284,,220000.0,264000.0,20.0,1.3613091197103417,1.6335709436524102,True
KIR01_4232026_63000PM,KIR01,top_sku_share_0.50,123325.71428571428,123325.71428571428,,119333.33333333334,143200.0,19.99999999999999,0.967627343774133,1.1611528125289594,False
PAN01_4232026_50000PM,PAN01,top_sku_share_0.50,64450.285714285725,64450.285714285725,,76666.66666666667,92000.0,19.999999999999993,1.1895473513730774,1.4274568216476928,True
PAN02_4242026_93000AM,PAN02,top_sku_share_0.50,32832.0,32832.0,,40000.0,48000.0,20.0,1.2183235867446394,1.4619883040935673,True
MART03_4242026_60000PM,MART03,top_sku_share_0.50,264880.0,264880.0,,147833.33333333334,177400.0,19.999999999999993,0.5581143662539012,0.6697372395046813,False
KIR03_4222026_30000PM,KIR03,top_sku_share_0.50,213942.85714285713,213942.85714285713,,206666.6666666667,248000.0,19.99999999999999,0.9659900284900287,1.1591880341880343,False
PAN03_4222026_70000PM,PAN03,top_sku_share_0.50,43003.42857142857,43003.42857142857,,55833.333333333336,67000.0,19.999999999999996,1.2983460897912902,1.5580153077495482,True
MART04_4222026_100000AM,MART04,top_sku_share_0.50,86847.99999999999,86847.99999999999,,82833.33333333334,99400.0,19.999999999999986,0.9537736428395974,1.1445283714075167,False
MART01_4222026_60000PM,MART01,top_sku_share_0.70,232772.57142857145,232772.57142857145,,101666.66666666667,87142.85714285714,-14.285714285714288,0.4367639453511132,0.3743690960152399,False
MART01_4232026_121500PM,MART01,top_sku_share_0.70,221461.33333333334,221461.33333333334,,101666.66666666667,87142.85714285714,-14.285714285714288,0.4590718620556786,0.39349016747629595,False
MART02_4232026_23000PM,MART02,top_sku_share_0.70,100608.0,100608.0,,92500.0,79285.71428571429,-14.285714285714283,0.9194099872773537,0.7880657033805889,False
KIR02_4232026_80000PM,KIR02,top_sku_share_0.70,161609.14285714284,161609.14285714284,,220000.0,188571.42857142858,-14.285714285714283,1.3613091197103417,1.1668363883231503,False
KIR01_4232026_63000PM,KIR01,top_sku_share_0.70,123325.71428571428,123325.71428571428,,119333.33333333334,102285.71428571429,-14.28571428571429,0.967627343774133,0.8293948660921139,False
PAN01_4232026_50000PM,PAN01,top_sku_share_0.70,64450.285714285725,64450.285714285725,,76666.66666666667,65714.28571428572,-14.285714285714276,1.1895473513730774,1.0196120154626378,False
PAN02_4242026_93000AM,PAN02,top_sku_share_0.70,32832.0,32832.0,,40000.0,34285.71428571429,-14.285714285714276,1.2183235867446394,1.0442773600668338,False
MART03_4242026_60000PM,MART03,top_sku_share_0.70,264880.0,264880.0,,147833.33333333334,126714.28571428572,-14.285714285714285,0.5581143662539012,0.47838374250334387,False
KIR03_4222026_30000PM,KIR03,top_sku_share_0.70,213942.85714285713,213942.85714285713,,206666.6666666667,177142.85714285716,-14.285714285714285,0.9659900284900287,0.8279914529914532,False
PAN03_4222026_70000PM,PAN03,top_sku_share_0.70,43003.42857142857,43003.42857142857,,55833.333333333336,47857.14285714286,-14.28571428571428,1.2983460897912902,1.1128680769639632,False
MART04_4222026_100000AM,MART04,top_sku_share_0.70,86847.99999999999,86847.99999999999,,82833.33333333334,71000.0,-14.285714285714295,0.9537736428395974,0.8175202652910835,False
